,Name,Price,Image,Link
0,Waffle Textured Shorts in Mustard,"Rs.1,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_1718187476740.jpg?v=1718651812&width=533,https://attirstore.com/products/waffle-textured-shorts-in-mustard-summer-24
1,Waffle-Knit Classic Polo in Ice Blue,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_1718141513710.jpg?v=1718482611&width=533,https://attirstore.com/products/waffle-knit-classic-polo-in-ice-blue-summer-24
2,Waffle Textured Shorts in Grey Marl,"Rs.1,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_1718141514139_2782b3aa-e457-4c2f-b2b9-f294d52416a6.jpg?v=1718483489&width=533,https://attirstore.com/products/waffle-textured-shorts-in-grey-marl-summer-24
3,Waffle-Knit Classic Polo in Cinnamon Brown,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_1718187477013.jpg?v=1718482528&width=533,https://attirstore.com/products/waffle-knit-classic-polo-in-cinnamon-brown-summer-24
4,Waffle-Knit Classic Polo in Flamingo,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/cc.jpg?v=1718651728&width=533,https://attirstore.com/products/waffle-knit-classic-polo-in-flamingo-summer-24
5,Waffle-Knit Classic Polo in Khaki,"Rs.2,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_1718187475973.jpg?v=1718482678&width=533,https://attirstore.com/products/waffle-knit-classic-polo-in-khaki-summer-24
6,Cotton Straight-Fit Trouser in Black,"Rs.3,690",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_0776-1.jpg?v=1719217390&width=533,https://attirstore.com/products/cotton-straight-fit-trouser-in-black-summer-24
7,Waffle Textured Shirt in Beige,"Rs.3,490",https://attirstore.com//attirstore.com/cdn/shop/files/A5EC4DC2-CFDC-4DE5-B7C9-02F791D12DDD.jpg?v=1719224202&width=533,https://attirstore.com/products/waffle-textured-shirt-in-beige-summer-24
8,Yarn-Dyed Waffle Textured Shirt,"Rs.3,490",https://attirstore.com//attirstore.com/cdn/shop/files/8E1C0DFE-B8D8-4995-B531-B67A1BFF00B6.jpg?v=1718640516&width=533,https://attirstore.com/products/yarn-dyed-waffle-textured-shirt-summer-24
9,Basic Cotton Shirt in Black,"Rs.3,490",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_1718187477542.jpg?v=1718966798&width=533,https://attirstore.com/products/basic-shirt-in-black-summer-24
10,Stand-up Collar Shirt in Chocolate,"Rs.3,690",https://attirstore.com//attirstore.com/cdn/shop/files/298D4562-46C0-449A-9B11-1A37095C0D2D.jpg?v=1717263959&width=533,https://attirstore.com/products/stand-up-collar-shirt-in-chocolate-summer-24
11,Stand-up Collar Shirt in Olive,"Rs.3,690",https://attirstore.com//attirstore.com/cdn/shop/files/E5572411-94E4-4CDB-8FEC-ADA931F96396.jpg?v=1717579752&width=533,https://attirstore.com/products/stand-up-collar-shirt-in-olive-summer-24
12,Stand-up Collar Shirt in Black,"Rs.3,690",https://attirstore.com//attirstore.com/cdn/shop/files/1111_59cc705e-2058-4d7c-a8ea-51b1ea4f506a.jpg?v=1717579027&width=533,https://attirstore.com/products/stand-up-collar-shirt-in-black-summer-24
13,Waffle Textured Shorts in Cinnamon Brown,"Rs.1,990",https://attirstore.com//attirstore.com/cdn/shop/files/IMG_1718187477013_3726e422-49d6-4b82-809a-9fdf62199c36.jpg?v=1718483242&width=533,https://attirstore.com/products/waffle-textured-shorts-in-cinnamon-brown-summer-24
14,Stand-up Collar Shirt in White,"Rs.3,690",https://attirstore.com//attirstore.com/cdn/shop/files/792F1CC6-6E6C-4BF2-A8D1-16DAF51376A4.jpg?v=1716896752&width=533,https://attirstore.com/products/stand-up-collar-shirt-in-white-summer-24
15,Terry Sweatshorts in Cream,"Rs.1,990",https://attirstore.com//attirstore.com/cdn/shop/files/1.0.jpg?v=1718109259&width=533,https://attirstore.com/products/terry-sweatshorts-in-cream-summer-24
16,Terry Sweatshorts in Peach,"Rs.1,990",https://attirstore.com//attirstore.com/cdn/shop/files/2.0.jpg?v=1718109359&width=533,https://attirstore.com/products/terry-sweatshorts-in-peach-summer-24
17,Oversized T-shirt in Cream,"Rs.1,890",https://attirstore.com//attirstore.com/cdn/shop/files/D86E109C-044C-4DD3-92A5-DD5AC8FF94B9.jpg?v=1716566120&width=533,https://attirstore.com/products/oversized-t-shirt-in-cream-summer-24
