,Name,Price,Image,Link
0,Creased-Effect Shirt in Blue,"Rs.3,690",//attirstore.com/cdn/shop/files/2-1_2aaf08f9-74e8-44e1-830e-b5b180c77c26.jpg?v=1715662507&width=533,/products/sum24-creased-effect-shirt-in-blue
1,Waffle-Knit Revere Polo Shirt in Rouge Pink,"Rs.2,990",//attirstore.com/cdn/shop/files/8.jpg?v=1714988021&width=533,/products/sum24-waffle-knit-revere-polo-shirt-in-rouge-pink
2,Waffle-Knit Revere Polo Shirt in Crimson,"Rs.2,990",//attirstore.com/cdn/shop/files/28-1_9c61524a-13c3-4877-ba2f-a8568abc5b8b.jpg?v=1716455834&width=533,/products/sum24-waffle-knit-revere-polo-shirt-in-crimson
3,Polo Shirt with Revere Collar in Maroon,"Rs.2,990",//attirstore.com/cdn/shop/files/DSC01936_5f8083c7-c842-4d49-9ad2-cbf0170051be.jpg?v=1717579493&width=533,/products/sum24-polo-shirt-with-revere-collar-in-maroon
4,Polo Shirt with Revere Collar in Navy,"Rs.2,990",//attirstore.com/cdn/shop/files/DSC01994.jpg?v=1714381314&width=533,/products/sum24-polo-shirt-with-revere-collar-in-navy
5,Polo Shirt with Revere Collar in Grey,"Rs.2,990",//attirstore.com/cdn/shop/files/14.jpg?v=1714987681&width=533,/products/sum24-polo-shirt-with-revere-collar-in-grey
6,Tank Top in Maroon,"Rs.1,290",//attirstore.com/cdn/shop/files/99.jpg?v=1714377377&width=533,/products/sum24-tank-top-in-maroon
7,Tank Top in Crimson Red,"Rs.1,290",//attirstore.com/cdn/shop/files/kk.jpg?v=1714378907&width=533,/products/sum24-tank-top-in-crimson-red
8,Tank Top in Olive,"Rs.1,290",//attirstore.com/cdn/shop/files/90.jpg?v=1714378004&width=533,/products/sum24-tank-top-in-olive
9,Tank Top in Crow Black,"Rs.1,290",//attirstore.com/cdn/shop/files/DSC01524.jpg?v=1714375944&width=533,/products/sum24-tank-top-in-crow-black
10,Tank Top in Forest Green,"Rs.1,290",//attirstore.com/cdn/shop/files/11_9eb91551-f929-4095-a508-108ca0b505ea.jpg?v=1714377129&width=533,/products/sum24-tank-top-in-forest-green
11,Basic T-shirt in Crimson Red,"Rs.1,590",//attirstore.com/cdn/shop/files/IMG_8770copy_04ffdbeb-a823-41d8-84ad-8b6832619ea8.jpg?v=1714382763&width=533,/products/sum24-basic-t-shirt-in-crimson-red
12,Basic T-shirt in Olive,"Rs.1,590",//attirstore.com/cdn/shop/files/IMG_8787-1copy.jpg?v=1714383402&width=533,/products/sum24-basic-t-shirt-in-olive
13,Waffle-Knit Revere Polo Shirt in Chocolate Brown,"Rs.2,390",//attirstore.com/cdn/shop/files/IMG_7377-1copy.jpg?v=1712317416&width=533,/products/waffle-knit-revere-polo-shirt-in-chocolate-brown
14,Waffle-Knit Revere Polo Shirt in Stone,"Rs.2,990",//attirstore.com/cdn/shop/files/IMG_7465-1copy.jpg?v=1712317292&width=533,/products/waffle-knit-revere-polo-shirt-in-stone
15,Waffle-Knit Revere Polo Shirt in Maroon,"Rs.2,990",//attirstore.com/cdn/shop/files/IMG_7399-1111copy.jpg?v=1716453711&width=533,/products/waffle-knit-revere-polo-shirt-in-maroon
16,Waffle-Knit Revere Polo Shirt in White,"Rs.2,990",//attirstore.com/cdn/shop/files/IMG_7496-1copy.jpg?v=1712317017&width=533,/products/waffle-knit-revere-polo-shirt-in-white
17,Oversized T-shirt in Cinnamon Brown,"Rs.1,890",//attirstore.com/cdn/shop/files/IMG_7632copy.jpg?v=1709750962&width=533,/products/oversized-t-shirt-in-cinnamon-brown
18,Oversized T-shirt in Ink Black,"Rs.1,890",//attirstore.com/cdn/shop/files/IMG_9351copy.jpg?v=1709742815&width=533,/products/oversized-t-shirt-in-ink-black
19,Basic T-shirt in True Blue,"Rs.1,590",//attirstore.com/cdn/shop/files/IMG_8770copy.jpg?v=1709733310&width=533,/products/basic-t-shirt-in-true-blue-men
20,Basic T-shirt in Oregano,"Rs.1,590",//attirstore.com/cdn/shop/files/IMG_8787copy.jpg?v=1709733034&width=533,/products/basic-t-shirt-in-oregano-men
21,Basic T-shirt in Graphite,"Rs.1,590",//attirstore.com/cdn/shop/files/IMG_8948.jpg?v=1713885978&width=533,/products/basic-t-shirt-in-graphite-men
22,Basic T-shirt in Sky Blue,"Rs.1,590",//attirstore.com/cdn/shop/files/IMG_8926.jpg?v=1709731935&width=533,/products/basic-t-shirt-in-sky-blue-men
23,Basic T-shirt in White,"Rs.1,590",//attirstore.com/cdn/shop/files/DSC01099_78e74cca-32c6-44c6-9c2f-1451fc4dc260.jpg?v=1709722273&width=533,/products/basic-t-shirt-in-white-men
24,Basic T-shirt in Black,"Rs.1,590",//attirstore.com/cdn/shop/files/DSC01411_cb594255-3cb3-4a84-9f82-85f9153862f0.jpg?v=1709722178&width=533,/products/basic-t-shirt-in-black-men
25,Striped Print Shirt,"Rs.2,890",//attirstore.com/cdn/shop/files/20_cef442ce-99c3-4553-85f9-69c465989bef.jpg?v=1707638735&width=533,/products/striped-print-shirt-2-ss24
26,Geometric Print Shirt,"Rs.2,890",//attirstore.com/cdn/shop/files/18_295fe9eb-a0c0-4fde-804c-471d08bc3200.jpg?v=1707116368&width=533,/products/geometric-print-shirt-2-ss24
27,Creased-Effect Over Shirt in Orange,"Rs.4,290",//attirstore.com/cdn/shop/files/4-1_a04452da-582a-41a4-86df-dfac4b1949ab.jpg?v=1714982927&width=533,/products/creased-effect-over-shirt-in-peach-ss24
28,Creased-Effect Over Shirt in White,"Rs.4,290",//attirstore.com/cdn/shop/files/IMG_8674copy.jpg?v=1709751322&width=533,/products/creased-effect-over-shirt-in-white-ss24
29,Relaxed-Fit Cotton Joggers in Grey Melange,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_9075copy.jpg?v=1709734176&width=533,/products/relaxed-fit-cotton-joggers-in-grey-melange-ss24
30,Relaxed-Fit Cotton Joggers in Burnt Red,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_9548copy.jpg?v=1709735068&width=533,/products/relaxed-fit-cotton-joggers-in-burnt-red-ss24
31,Relaxed-Fit Cotton Joggers in Olive,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_9318copy.jpg?v=1709734567&width=533,/products/relaxed-fit-cotton-joggers-in-olive-ss24
32,Relaxed-Fit Cotton Joggers in White,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_8630copy.jpg?v=1709733783&width=533,/products/relaxed-fit-cotton-joggers-in-white-ss24
33,Relaxed-Fit Cotton Joggers in Navy,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_9169copy.jpg?v=1709734392&width=533,/products/relaxed-fit-cotton-joggers-in-navy-ss24
34,Relaxed-Fit Cotton Joggers in Black,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_9061copy_694adb6a-cb08-49b1-89a3-9e96850ccf2c.jpg?v=1709734049&width=533,/products/relaxed-fit-cotton-joggers-in-black-ss24
35,Relaxed-Fit Cotton Joggers in Beige,"Rs.3,290",//attirstore.com/cdn/shop/files/IMG_9381copy.jpg?v=1709734761&width=533,/products/relaxed-fit-cotton-joggers-in-beige-ss24
36,Stretch Cotton Button-Up Shirt in Navy,"Rs.3,490",//attirstore.com/cdn/shop/files/IMG_9457copy.jpg?v=1710352282&width=533,/products/stretch-cotton-button-up-shirt-in-navy-ss24
37,Stretch Cotton Button-Up Shirt in Black,"Rs.3,490",//attirstore.com/cdn/shop/files/IMG_8537copy.jpg?v=1710453455&width=533,/products/stretch-cotton-button-up-shirt-in-black-ss24
38,Cotton Button-Up Shirt in Charcoal,"Rs.3,490",//attirstore.com/cdn/shop/files/IMG_9672copy_ac8fe186-6223-4326-b9a4-96019901f6d9.jpg?v=1710365949&width=533,/products/cotton-button-up-shirt-in-charcoal-ss24
