Name,Price,Image,Link
TEE WITH SLEEVE PRINT,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP046-BLACK-TEE-WITH-SLEEVE-PRINT_15.jpg?v=1718022061&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/tee-with-sleeve-print-was24tp046-black
FLOWY TOP,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP078-BEIGE-FLOWY-TOP_6.jpg?v=1717394110&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-beige
OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP043-BEIGE-OVERSIZED-T-SHIRT-WITH-PRINT_1.jpg?v=1718021204&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-beige
HIGH WAIST STRAIGHT JEANS,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24BT021-LIGHT-BLUE-HIGH-WAIST-STRAIGHT-JEANS_1.jpg?v=1719207893&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/high-waist-straight-jeans-was24bt021-light-blue
AZTEC EMBROIDERED LINEN SHIRT,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP104-OFF-WHITE-AZTEC-EMBROIDERED-LINEN-SHIRT_4.jpg?v=1717648471&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/aztec-embroidered-linen-shirt-was24tp104-off-white
KNIT STRAPPY TOP,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP015-WHITE-KNIT-STRAPPY-TOP_3.jpg?v=1717499927&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/knit-strappy-top-was24tp015-white
TEE WITH SLEEVE PRINT,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP046-ITLIAN-CLAY-TEE-WITH-SLEEVE-PRINT_1.jpg?v=1718021975&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/tee-with-sleeve-print-was24tp046-italian-clay
PRINTED TUNIC DRESS,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24DR008-BLACK-PRINTED-TUNIC-DRESS_7.jpg?v=1717395542&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/printed-tunic-dress-was24dr008-black
SCHIFFLI FERN CULOTTES,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-fern-culottes-was24bt106-white
FLOWY TOP,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-green
CROCHET SLEEVE BLOUSE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/crochet-sleeve-blouse-was24tp080-black
OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-white
SCHIFFLI FERN SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-fern-shirt-was24tp106-white
LONG FLOWY PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-beige
LONG FLOWY PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-black
LONG FLOWY PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-green
LONG FLOWY PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/long-flowy-pants-was24bt019-pink
HIGH WAIST STRAIGHT JEANS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/high-waist-straight-jeans-was24bt021-mid-blue
FLOWY TOP,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-black
FLOWY TOP,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/flowy-top-was24tp078-pink
LINEN LILY CULOTTES,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/linen-lily-culottes-was24bt105-off-white
LONG TUNIC DRESS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/long-tunic-dress-was24dr009-black
OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-black
SAFARI SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp077-white
TWO WAY STRIPED SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/two-way-striped-shirt-was24tp004-blue
EVERYDAY PLEATED BLOUSE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/everyday-pleated-blouse-was24tp041-black
SAFARI SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp077-black
BLOOM PRINTED SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/bloom-printed-shirt-was24tp091-multi
KNIT STRAPPY TOP,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/knit-strappy-top-was24tp015-black
STRAIGHT LEG PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/straight-leg-pants-was24bt012-white
FITTED PARTY TEE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/fitted-party-tee-was24tp030-navy
SEMI-SHEER TEE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/semi-sheer-tee-was24tp020-coffee
SAFARI SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp102-camel
SAFARI SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp102-navy
EVERYDAY PLEATED BLOUSE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/everyday-pleated-blouse-was24tp041-green
WIDE LEG PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-leg-pants-was24bt026-sea-green
SILICON HIGH CREW TEE,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP052-BLACK-SILICON-HIGH-CREW-TEE_12_4ff741cb-1980-4306-b395-eb3e74fcecd9.jpg?v=1716445032&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/silicon-high-crew-tee-was24tp052-black
ANKLE CROPPED SLIM JEANS,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24BT056-MID-BLUE-ANKLE-CROPPED-SLIM-JEANS_14.jpg?v=1715755944&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/ankle-cropped-slim-jeans-was24bt056-mid-blue
EASY BREEZY PANTS,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24BT102-NAVY-EASY-BREEZY-PANTS_6.jpg?v=1715766080&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/easy-breezy-pants-was24bt102-navy
OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://lamaretail.com/cdn/shop/files/WAS24TP043-IVORY-OVERSIZED-T-SHIRT-WITH-PRINT_3.jpg?v=1715840823&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-ivory
TWO WAY STRIPED SHIRT,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WS24TP004-WHITE-TWO-WAY-STRIPED-SHIRT_4.jpg?v=1715323148&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/two-way-striped-shirt-was24tp004-white
SAFARI SHIRT,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP077-NAVY-MUSLIN-SAFARI-SHIRT_4.jpg?v=1715766867&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/safari-shirt-was24tp077-navy
BOXER WAIST LOW RISE PANTS,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT006-GREY-DOUBLE-WAIST-WIDE-LEG-PANTS_8.jpg?v=1715851432&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/boxer-waist-low-rise-pants-was24bt006-grey
OVERSIZED T-SHIRT WITH PRINT,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP043-ITLIAN-CLAY-OVERSIZED-T-SHIRT-WITH-PRINT_4.jpg?v=1715835752&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/oversized-t-shirt-with-print-was24tp043-italian-clay
CROPPED BAND TOP,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP038-OFF-WHITE-CROPPED-BAND-TOP_1_bf60bcfa-53b6-4769-b9fb-aae1015a2013.jpg?v=1715854955&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/cropped-band-top-was24tp038-off-white
EVERYDAY PLEATED BLOUSE,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24TP041-LIGHT-PINK-EVERYDAY-PLEATED-BLOUSE_9.jpg?v=1715766751&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/everyday-pleated-blouse-was24tp041-pink
WIDE STRIPED PANTS,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24BT015-BLUE-WIDE-STRIPED-PANTS_10.jpg?v=1710913351&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-striped-pants-was24bt015-blue
BODYCON FORMAL DRESS,"Rs.2,750.00",https://cdn.shopify.com/s/files/1/0537/9771/6146/files/WAS24DR019-BLACK-BODYCON-FORMAL-DRESS_14.jpg?v=1715839484&width=1080,https://lamaretail.com/collections/woman-apparel-new-in/products/bodycon-formal-dress-was24dr019-black
SILICON HIGH CREW TEE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/silicon-high-crew-tee-was24tp052-ivory
SEMI-SHEER TEE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/semi-sheer-tee-was24tp020-black
STRIPED EASY PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/striped-easy-pants-was24bt013-beige
TWO WAY STRIPED SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/two-way-striped-shirt-was24tp004-beige
ASYMMETRICAL STRIPED TEE,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/asymmetrical-striped-tee-was24tp011-black
WIDE LEG PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-leg-pants-was24bt026-black
CROPPED WIDE PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/cropped-wide-pants-was24bt020-ivory
STRIPED EASY PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/striped-easy-pants-was24bt013-white
CROPPED WIDE PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/cropped-wide-pants-was24bt020-black
BOXER WAIST LOW RISE PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/boxer-waist-low-rise-pants-was24bt006-blue
LINEN LILY TUNIC,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/linen-lily-tunic-was24tp105-off-white
SCHIFFLI FERN SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-fern-shirt-was24tp116-black
SCHIFFLI BUTTERFLY SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/schiffli-butterfly-shirt-was24tp108-skin
AZTEC LINEN CULOTTES,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/aztec-linen-culottes-was24bt104-off-white
LONG TUNIC DRESS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/long-tunic-dress-was24dr009-green
BAND COLLAR SHIRT,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/band-collar-shirt-was24tp113-black
EASY BREEZY PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/easy-breezy-pants-was24bt102-camel
WIDE ANKLE PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-ankle-pants-was24bt113-italian-clay
ORGANIC COTTON TUNIC,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/organic-cotton-tunic-was24tp026-aqua
WIDE ANKLE PANTS,"Rs.2,750.00", ,https://lamaretail.com/collections/woman-apparel-new-in/products/wide-ankle-pants-was24bt113-cobalt-blue
